Ticker,Price,Change,Change from Open,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
CLRO,13.84,0.9771,44.62,0.3671,82258734,,,,,,,,,
SKIN,1.11,0.4704,43.88,0.022,87394677,,,,,,,,,
TVRD,3.1,0.5423,42.86,0.0796,70374196,,,,,,,,,
ILLR,2.44,0.1564,38.64,-0.1659,3322300,,,,,,,,,
VRXA,3.03,0.3836,37.73,0.0046,6105755,,,,,,,,,
SCLX,9.93,0.2305,25.06,-0.0161,412213,,,,,,,,,
PYXS,3.07,0.248,24.29,0.0040999999999999,2455405,,,,,,,,,
ZCMD,2.2,-0.0179,22.91,-0.2009,1776988,,,,,,,,,
TTRX,9.71,0.2627,22.29,0.0325,447469,,,,,,,,,
SKYQ,3.0,0.4150999999999999,21.95,0.1604,29814231,,,,,,,,,
BATL,1.78,0.2535,20.27,0.0423,23762433,,,,,,,,,
