Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding
ACON,1.27,0.77,0.1971,0.2774,-0.9255,-0.9972,0.5629,68.5,9.69,0.12710000000000002,-10.44%,0.2585,3811194.0,25.85,0.58M,0.58M
CHNR,0.28,0.72,0.3979,0.6568999999999999,0.626,-0.0019,1.2690000000000001,73.56,7.17,0.44060000000000005,10.65%,0.302,16657527.0,30.2,0.52M,1.23M
ELBM,2.33,0.75,3.4713,4.7258,4.515,1.7113,8.116900000000001,88.97,7.02,3.2544999999999997,112.73%,1.0,195777226.0,100.0,17.70M,17.96M
GWH,0.73,1.1,3.1986000000000003,4.0139,2.3033,-0.1057,10.906300000000002,93.58,9.05,1.1755,50.83%,0.44229999999999997,161759695.0,44.23,8.63M,12.90M
MTEX,0.84,0.88,0.1368,0.1499,-0.0011,-0.3899,0.3934,60.31,10.06,0.11779999999999999,-10.50%,0.2489,594979.0,24.89,0.95M,1.90M
NAMM,-0.11,0.38,0.2924,0.3549,-0.5236,-0.9242,0.6289,68.88,4.17,0.3196,9.74%,0.2025,24526397.0,20.25,2.52M,3.28M
NDRA,-0.16,0.69,0.4498,0.6512,0.7087,-0.642,1.8,83.54,8.12,0.2531,-17.40%,0.517,13823050.0,51.7,0.75M,0.75M
PMAX,0.35,0.54,0.4756,0.4437,-0.047,-0.8825,1.0041,69.84,3.75,0.44789999999999996,-25.30%,0.9381999999999999,25561898.0,93.82,0.63M,17.56M
STI,0.37,2.06,2.8317,3.6483,1.4101,-0.6068,6.3553999999999995,93.82,21.62,2.9389999999999996,86.58%,1.1111,100432108.0,111.11,1.47M,2.72M
XCH,-0.42,0.23,0.3035,0.34240000000000004,0.2747,-0.9449,2.0545,64.23,1.68,1.0341,61.54%,0.25920000000000004,37058703.0,25.92,25.47M,40.79M
