Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
AHMA,1.47,0.3611,-45.76%,1.5093,72966086.0,150.93,1.96M,10.96M,93.41%,0.33%,6.85%,43.70M
AZI,1.85,0.6372,-37.29%,1.6106,187741395.0,161.06,4.41M,181.70M,93.52%,0.00%,0.67%,125.95M
CCTG,1.78,2.7144999999999997,-62.29%,8.8497,117463502.0,884.97,3.01M,3.91M,23.11%,2.09%,3.24%,6.97M
CHAI,1.86,1.2683,-47.75%,3.3415,166696706.0,334.15,18.30M,19.92M,8.16%,0.58%,0.62%,37.06M
CPOP,0.36,0.2491,-16.28%,0.49200000000000005,121613828.0,49.2,20.36M,81.94M,75.15%,0.95%,1.05%,29.50M
ELPW,1.16,0.5053,-9.38%,0.6609999999999999,126489219.0,66.1,1.40M,1.41M,0.91%,37.40%,21.57%,1.64M
EPSM,2.05,0.7227,29.75%,0.32770000000000005,65426664.0,32.77,2.65M,13.44M,0.54%,0.73%,0.13%,5.46M
FAC,16.0,0.1594,-20.00%,0.4493,4815342.0,44.93,19.23M,27.60M,44.26%,83.57%,-,552.00M
GMM,0.11,0.1936,-47.54%,1.2754,1008263955.0,127.54,50.85M,62.31M,18.39%,0.02%,7.54%,6.72M
JZXN,1.37,0.0873,-30.10%,0.5556,48443697.0,55.56,1.39M,1.39M,0.09%,4.06%,9.78%,1.91M
MTEN,1.52,-0.2165,-41.09%,0.3299,58236523.0,32.99,0.84M,1.22M,31.02%,3.02%,7.05%,1.86M
PAVS,1.02,0.08449999999999999,-34.19%,0.6481,221535321.0,64.81,0.99M,1.05M,5.42%,0.01%,1.93%,1.07M
RGNT,2.41,0.8828,-4.37%,0.9688,103895103.0,96.88,2.48M,4.93M,52.02%,16.38%,1.03%,12.48M
SLGB,0.73,0.4183,-38.74%,1.3152000000000001,67212639.0,131.52,1.05M,43.00M,97.56%,0.22%,1.28%,31.35M
